job_title,salary_estimate,industry,sector,job_city,job_state,size,founded,type_of_ownership,revenue,seniority,seniority_level,avg_salary,avg_salary_predicted,final_salary,was_missing
Data Engineer,$62K-$114K (Glassdoor est.),Internet,Information Technology,Nashville,TN,1001 to 5000 employees,2006,Company - Public,$100 to $500 million (USD),unknown,0,88000,,88000,False
Big Data Engineer - Chicago - Future Opportunity,$71K-$129K (Glassdoor est.),Internet,Information Technology,Chicago,IL,501 to 1000 employees,2001,Company - Private,$100 to $500 million (USD),unknown,0,100000,,100000,False
Senior Data Analyst,$43K-$80K (Glassdoor est.),Colleges & Universities,Education,Herndon,VA,201 to 500 employees,1993,Nonprofit Organization,$25 to $50 million (USD),senior,3,61500,,61500,False
Data Scientist,$74K-$119K (Glassdoor est.),Advertising & Marketing,Business Services,Portland,OR,1001 to 5000 employees,1999,Company - Public,$1 to $2 billion (USD),unknown,0,96500,,96500,False
Survey Data Analyst,$55K-$97K (Glassdoor est.),Consulting,Business Services,Minneapolis,MN,201 to 500 employees,1992,Company - Private,Unknown / Non-Applicable,unknown,0,76000,,76000,False
Data Scientist,$15K-$16K(Employer est.),Research & Development,Business Services,Port Washington,NY,1001 to 5000 employees,1966,Company - Private,$100 to $500 million (USD),unknown,0,15500,,15500,False
Data Scientist,$61K-$106K (Glassdoor est.),Advertising & Marketing,Business Services,Austin,TX,1 to 50 employees,2010,Company - Private,Unknown / Non-Applicable,unknown,0,83500,,83500,False
"Risk and Analytics IT, Data Scientist",$91K-$149K (Glassdoor est.),Investment Banking & Asset Management,Finance,Madison,WI,51 to 200 employees,1951,Government,$50 to $100 million (USD),unknown,0,120000,,120000,False
Data Scientist,$127K-$199K (Glassdoor est.),Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,South San Francisco,CA,10000+ employees,1976,Subsidiary or Business Segment,$10+ billion (USD),unknown,0,163000,,163000,False
Lead Health Data Analyst - Front End,$74K-$126K (Glassdoor est.),Insurance Carriers,Insurance,Providence,RI,501 to 1000 employees,1939,Nonprofit Organization,Unknown / Non-Applicable,lead,4,100000,,100000,False
Research Scientist,$33K-$72K (Glassdoor est.),Social Assistance,Non-Profit,Omaha,NE,1001 to 5000 employees,1917,Nonprofit Organization,Unknown / Non-Applicable,unknown,0,52500,,52500,False
Medical Lab Scientist,$17-$24 Per Hour(Glassdoor est.),Health Care Services & Hospitals,Health Care,West Reading,PA,5001 to 10000 employees,2017,Nonprofit Organization,Unknown / Non-Applicable,unknown,0,20500,,20500,False
Junior Data Analyst,$37K-$63K (Glassdoor est.),Health Care Services & Hospitals,Health Care,Washington,DC,501 to 1000 employees,1883,Nonprofit Organization,Unknown / Non-Applicable,junior,1,50000,,50000,False
SQL Data Engineer,$67K-$119K (Glassdoor est.),Consulting,Business Services,Austin,TX,201 to 500 employees,2006,Company - Private,$50 to $100 million (USD),unknown,0,93000,,93000,False
Data Scientist,$72K-$117K (Glassdoor est.),Insurance Agencies & Brokerages,Insurance,Cincinnati,OH,1001 to 5000 employees,1887,Company - Private,$2 to $5 billion (USD),unknown,0,94500,,94500,False
Senior Data Scientist,$116K-$185K (Glassdoor est.),Computer Hardware & Software,Information Technology,San Francisco,CA,5001 to 10000 employees,1982,Company - Public,$2 to $5 billion (USD),senior,3,150500,,150500,False
Data Scientist,$78K-$126K (Glassdoor est.),Insurance Carriers,Insurance,Raleigh,NC,1001 to 5000 employees,2004,Company - Public,$5 to $10 billion (USD),unknown,0,102000,,102000,False
"Scientist, Analytical Development",$42K-$82K (Glassdoor est.),Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Cambridge,MA,201 to 500 employees,2013,Company - Public,$100 to $500 million (USD),unknown,0,62000,,62000,False
Analytics Manager,$59K-$116K (Glassdoor est.),Advertising & Marketing,Business Services,Dearborn,MI,201 to 500 employees,1967,Company - Private,Unknown / Non-Applicable,unknown,0,87500,,87500,False
Clinical Data Scientist,$63K-$105K (Glassdoor est.),Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Groton,CT,10000+ employees,1849,Company - Public,$10+ billion (USD),unknown,0,84000,,84000,False
Data Scientist,$109K-$177K (Glassdoor est.),Enterprise Software & Network Solutions,Information Technology,Herndon,VA,501 to 1000 employees,2012,Company - Private,$100 to $500 million (USD),unknown,0,143000,,143000,False
"Sr. Data Scientist, Cyber-Security LT Contract",$116K-$194K (Glassdoor est.),Staffing & Outsourcing,Business Services,Phila,PA,1 to 50 employees,-1,Company - Private,$5 to $10 million (USD),unknown,0,155000,,155000,False
Data Engineer,$48K-$95K (Glassdoor est.),Advertising & Marketing,Business Services,Winter Park,FL,51 to 200 employees,2006,Company - Public,$25 to $50 million (USD),unknown,0,71500,,71500,False
Data Scientist,$83K-$133K (Glassdoor est.),Insurance Carriers,Insurance,Oakland,CA,51 to 200 employees,2000,Company - Private,$10 to $25 million (USD),unknown,0,108000,,108000,False
Sr. Scientist - Digital & Image Analysis/Computational Pathology,$105K-$198K (Glassdoor est.),Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,San Diego,CA,10000+ employees,1781,Company - Public,$10+ billion (USD),unknown,0,151500,,151500,False
Digital Marketing & ECommerce Data Analyst,$31K-$72K (Glassdoor est.),"Department, Clothing, & Shoe Stores",Retail,San Rafael,CA,51 to 200 employees,2006,Subsidiary or Business Segment,$100 to $500 million (USD),unknown,0,51500,,51500,False
Principal Scientist - Immunologist,$98K-$182K (Glassdoor est.),Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Boston,MA,10000+ employees,1781,Company - Public,$10+ billion (USD),principal,5,140000,,140000,False
Senior Data Analyst,$55K-$100K (Glassdoor est.),IT Services,Information Technology,Hamilton,NJ,201 to 500 employees,2014,Company - Private,Unknown / Non-Applicable,senior,3,77500,,77500,False
Insurance Financial Data Analyst,$45K-$82K (Glassdoor est.),Investment Banking & Asset Management,Finance,Boise,ID,501 to 1000 employees,2004,Company - Private,$50 to $100 million (USD),unknown,0,63500,,63500,False
Data Scientist,$83K-$135K (Glassdoor est.),IT Services,Information Technology,San Francisco,CA,1 to 50 employees,-1,Company - Private,Less than $1 million (USD),unknown,0,109000,,109000,False
Data Scientist,$70K-$122K (Glassdoor est.),Aerospace & Defense,Aerospace & Defense,Oak Ridge,TN,5001 to 10000 employees,1850,Company - Public,$500 million to $1 billion (USD),unknown,0,96000,,96000,False
Principal Data Scientist with over 10 years experience,Employer Provided Salary:$200K-$250K,IT Services,Information Technology,San Francisco,CA,51 to 200 employees,2017,Company - Private,$5 to $10 million (USD),principal,5,225000,,225000,False
Data Engineer,$70K-$132K (Glassdoor est.),Lending,Finance,Agoura Hills,CA,1001 to 5000 employees,2008,Company - Public,$500 million to $1 billion (USD),unknown,0,101000,,101000,False
Senior Data Scientist,$73K-$124K (Glassdoor est.),Insurance Carriers,Insurance,Woodbridge,NJ,1001 to 5000 employees,1982,Company - Private,$10 to $25 million (USD),senior,3,98500,,98500,False
Data Engineer I - Azure,$54K-$101K (Glassdoor est.),Industrial Manufacturing,Manufacturing,Pella,IA,1001 to 5000 employees,1948,Company - Private,$1 to $2 billion (USD),unknown,0,77500,,77500,False
"Sr. Scientist, Quantitative Translational Sciences",$117K-$206K (Glassdoor est.),Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Boston,MA,10000+ employees,1781,Company - Public,$10+ billion (USD),unknown,0,161500,,161500,False
MED TECH/LAB SCIENTIST - LABORATORY,$21-$34 Per Hour(Glassdoor est.),Health Care Services & Hospitals,Health Care,Lewes,DE,1001 to 5000 employees,1935,Nonprofit Organization,$100 to $500 million (USD),unknown,0,27500,,27500,False
Sr. Data Scientist II,$111K-$183K (Glassdoor est.),Insurance Carriers,Insurance,New York,NY,1001 to 5000 employees,1948,Company - Public,$1 to $2 billion (USD),unknown,0,147000,,147000,False
Data Scientist,$68K-$112K (Glassdoor est.),IT Services,Information Technology,San Ramon,CA,10000+ employees,1997,Company - Public,Unknown / Non-Applicable,unknown,0,90000,,90000,False
Information Security Data Analyst,$42K-$74K (Glassdoor est.),Banks & Credit Unions,Finance,Red Bank,NJ,501 to 1000 employees,1902,Company - Public,$5 to $10 billion (USD),unknown,0,58000,,58000,False
Excel / VBA / SQL Data Analyst,$44K-$78K (Glassdoor est.),Energy,"Oil, Gas, Energy & Utilities",Springfield,MO,501 to 1000 employees,1961,Company - Private,$1 to $2 billion (USD),unknown,0,61000,,61000,False
Machine Learning Research Scientist,$81K-$159K (Glassdoor est.),Colleges & Universities,Education,Pittsburgh,PA,501 to 1000 employees,1984,College / University,Unknown / Non-Applicable,unknown,0,120000,,120000,False
Data Scientist,$95K-$161K (Glassdoor est.),Auctions & Galleries,Retail,New York,NY,1001 to 5000 employees,1744,Company - Public,$500 million to $1 billion (USD),unknown,0,128000,,128000,False
Data Scientist,$75K-$124K (Glassdoor est.),Banks & Credit Unions,Finance,Hillsboro,OR,1001 to 5000 employees,1952,Company - Private,$100 to $500 million (USD),unknown,0,99500,,99500,False
Data Scientist,$72K-$120K (Glassdoor est.),Real Estate,Real Estate,Detroit,MI,1001 to 5000 employees,1997,Company - Private,$500 million to $1 billion (USD),unknown,0,96000,,96000,False
Data Scientist,$76K-$126K (Glassdoor est.),Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Washington,DC,201 to 500 employees,2003,Company - Public,$100 to $500 million (USD),unknown,0,101000,,101000,False
Senior Data Scientist,$114K-$182K (Glassdoor est.),Financial Analytics & Research,Finance,Burbank,CA,51 to 200 employees,2009,Company - Private,$50 to $100 million (USD),senior,3,148000,,148000,False
"Data Scientist, Senior",$108K-$176K (Glassdoor est.),Enterprise Software & Network Solutions,Information Technology,Fort Belvoir,VA,501 to 1000 employees,2012,Company - Private,$100 to $500 million (USD),senior,3,142000,,142000,False
Senior Data Scientist,$130K-$208K (Glassdoor est.),K-12 Education,Education,Palo Alto,CA,1 to 50 employees,2007,Company - Private,Unknown / Non-Applicable,senior,3,169000,,169000,False
"VP, Data Science",$83K-$166K (Glassdoor est.),Lending,Finance,Phoenix,AZ,1001 to 5000 employees,2008,Company - Public,$500 million to $1 billion (USD),unknown,0,124500,,124500,False
Radar Data Analyst,$42K-$76K (Glassdoor est.),Aerospace & Defense,Aerospace & Defense,Huntsville,AL,51 to 200 employees,1996,Company - Private,$25 to $50 million (USD),unknown,0,59000,,59000,False
CONSULTANT– DATA ANALYTICS GROUP,$37K-$68K (Glassdoor est.),Consulting,Business Services,San Diego,CA,51 to 200 employees,1987,Company - Private,$10 to $25 million (USD),unknown,0,52500,,52500,False
Data Engineer,$52K-$99K (Glassdoor est.),IT Services,Information Technology,Houston,TX,501 to 1000 employees,1982,Company - Private,$50 to $100 million (USD),unknown,0,75500,,75500,False
Senior Data Scientist,$105K-$173K (Glassdoor est.),Insurance Agencies & Brokerages,Insurance,Armonk,NY,10000+ employees,1863,Company - Public,$10+ billion (USD),senior,3,139000,,139000,False
"Data Engineer, Data Engineering and Artifical Intelligence",$71K-$134K (Glassdoor est.),Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Cambridge,MA,10000+ employees,1781,Company - Public,$10+ billion (USD),unknown,0,102500,,102500,False
Staff Scientist,$39K-$82K (Glassdoor est.),Architectural & Engineering Services,Business Services,Columbia,SC,201 to 500 employees,1929,Company - Private,$25 to $50 million (USD),unknown,0,60500,,60500,False
PL Actuarial-Lead Data Scientist,$114K-$179K (Glassdoor est.),Insurance Carriers,Insurance,Worcester,MA,5001 to 10000 employees,1852,Company - Public,$5 to $10 billion (USD),lead,4,146500,,146500,False
"Associate Scientist/Scientist, Process Analytical Technology - Small Molecule Analytical Chemistry",$88K-$162K (Glassdoor est.),Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,South San Francisco,CA,10000+ employees,1976,Subsidiary or Business Segment,$10+ billion (USD),unknown,0,125000,,125000,False
Sr. Data Analyst,$60K-$102K (Glassdoor est.),Insurance Carriers,Insurance,Springfield,MA,5001 to 10000 employees,1851,Company - Private,$10+ billion (USD),unknown,0,81000,,81000,False
Senior Data & Machine Learning Scientist,$100K-$166K (Glassdoor est.),Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Chicago,IL,501 to 1000 employees,2015,Company - Private,Unknown / Non-Applicable,senior,3,133000,,133000,False
Program/Data Analyst,$55K-$99K (Glassdoor est.),IT Services,Information Technology,Washington,DC,10000+ employees,1996,Subsidiary or Business Segment,$10+ billion (USD),unknown,0,77000,,77000,False
Data Engineer,$67K-$117K (Glassdoor est.),Research & Development,Business Services,Herndon,VA,5001 to 10000 employees,1968,Company - Public,$1 to $2 billion (USD),unknown,0,92000,,92000,False
Senior Data Scientist: Causal & Predictive analytics AI Innovation Lab,$92K-$150K (Glassdoor est.),Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Cambridge,MA,10000+ employees,1996,Company - Public,$10+ billion (USD),senior,3,121000,,121000,False
"Principal Data Engineer, Data Platform & Insights",$116K-$209K (Glassdoor est.),Computer Hardware & Software,Information Technology,San Francisco,CA,5001 to 10000 employees,1982,Company - Public,$2 to $5 billion (USD),principal,5,162500,,162500,False
RESEARCH SCIENTIST - BIOLOGICAL SAFETY,$38K-$82K (Glassdoor est.),Research & Development,Business Services,San Antonio,TX,1001 to 5000 employees,1947,Nonprofit Organization,$500 million to $1 billion (USD),unknown,0,60000,,60000,False
Data Operations Lead,Employer Provided Salary:$85K-$90K,-1,-1,San Francisco,CA,201 to 500 employees,-1,Nonprofit Organization,Unknown / Non-Applicable,lead,4,87500,,87500,False
Big Data Engineer,$62K-$119K (Glassdoor est.),Enterprise Software & Network Solutions,Information Technology,Indianapolis,IN,1 to 50 employees,2015,Company - Private,Unknown / Non-Applicable,unknown,0,90500,,90500,False
Data Scientist / Machine Learning Expert,$86K-$143K (Glassdoor est.),Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Cambridge,MA,10000+ employees,1996,Company - Public,$10+ billion (USD),unknown,0,114500,,114500,False
Data Scientist,$93K-$149K (Glassdoor est.),Telecommunications Services,Telecommunications,Sunnyvale,CA,5001 to 10000 employees,1996,Company - Public,$2 to $5 billion (USD),unknown,0,121000,,121000,False
Senior Data Scientist,$84K-$136K (Glassdoor est.),Advertising & Marketing,Business Services,Dallas,TX,501 to 1000 employees,1993,Subsidiary or Business Segment,$50 to $100 million (USD),senior,3,110000,,110000,False
PV Scientist,$60K-$123K (Glassdoor est.),Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Newton,MA,201 to 500 employees,-1,Company - Public,Unknown / Non-Applicable,unknown,0,91500,,91500,False
Clinical Data Analyst,$52K-$89K (Glassdoor est.),Research & Development,Business Services,Portsmouth,VA,5001 to 10000 employees,1968,Company - Public,$1 to $2 billion (USD),unknown,0,70500,,70500,False
Data Engineer,$48K-$93K (Glassdoor est.),Computer Hardware & Software,Information Technology,Lafayette,LA,501 to 1000 employees,-1,Company - Private,Unknown / Non-Applicable,unknown,0,70500,,70500,False
Computational Chemist/Data Scientist,$56K-$97K (Glassdoor est.),Energy,"Oil, Gas, Energy & Utilities",Richland,WA,1001 to 5000 employees,1965,Government,$500 million to $1 billion (USD),unknown,0,76500,,76500,False
Data Engineer,$65K-$119K (Glassdoor est.),Insurance Carriers,Insurance,Springfield,MA,5001 to 10000 employees,1851,Company - Private,$10+ billion (USD),unknown,0,92000,,92000,False
Principal Data Scientist (Computational Chemistry),$108K-$173K (Glassdoor est.),Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Salt Lake City,UT,51 to 200 employees,2013,Company - Private,$1 to $5 million (USD),principal,5,140500,,140500,False
Product Engineer – Data Science,$63K-$101K (Glassdoor est.),Computer Hardware & Software,Information Technology,Arlington,VA,1001 to 5000 employees,1969,Company - Private,$1 to $2 billion (USD),unknown,0,82000,,82000,False
"Principal Scientist, Chemistry & Immunology",$54K-$115K (Glassdoor est.),Health Care Services & Hospitals,Health Care,Rochester,NY,10000+ employees,2014,Hospital,$500 million to $1 billion (USD),principal,5,84500,,84500,False
"Scientist/Senior Scientist, Autoimmune",$90K-$179K (Glassdoor est.),Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Cambridge,MA,201 to 500 employees,2013,Company - Public,$100 to $500 million (USD),senior,3,134500,,134500,False
Data Scientist,$127K-$202K (Glassdoor est.),Advertising & Marketing,Business Services,San Francisco,CA,201 to 500 employees,2008,Company - Private,Unknown / Non-Applicable,unknown,0,164500,,164500,False
Market Data Analyst,$31K-$57K (Glassdoor est.),Telecommunications Manufacturing,Telecommunications,West Palm Beach,FL,201 to 500 employees,1991,Company - Public,$50 to $100 million (USD),unknown,0,44000,,44000,False
Software Engineer - Data Visualization,$60K-$127K (Glassdoor est.),Computer Hardware & Software,Information Technology,Annapolis Junction,MD,51 to 200 employees,2002,Company - Private,$5 to $10 million (USD),unknown,0,93500,,93500,False
Data Engineer,$75K-$143K (Glassdoor est.),Enterprise Software & Network Solutions,Information Technology,Herndon,VA,1 to 50 employees,2015,Company - Private,Unknown / Non-Applicable,unknown,0,109000,,109000,False
Staff Data Engineer,$105K-$194K (Glassdoor est.),Computer Hardware & Software,Information Technology,Austin,TX,501 to 1000 employees,2010,Company - Private,Unknown / Non-Applicable,unknown,0,149500,,149500,False
Associate Data Engineer,$45K-$86K (Glassdoor est.),Research & Development,Business Services,Washington,DC,1001 to 5000 employees,2007,Company - Private,Unknown / Non-Applicable,unknown,0,65500,,65500,False
Senior Data Scientist,$95K-$154K (Glassdoor est.),Insurance Carriers,Insurance,Charlotte,NC,1001 to 5000 employees,2017,Company - Public,Unknown / Non-Applicable,senior,3,124500,,124500,False
Staff BI and Data Engineer,$80K-$148K (Glassdoor est.),Advertising & Marketing,Business Services,San Jose,CA,51 to 200 employees,1998,Company - Private,Unknown / Non-Applicable,unknown,0,114000,,114000,False
Marketing Data Analyst,$36K-$62K (Glassdoor est.),Banks & Credit Unions,Finance,Exton,PA,501 to 1000 employees,1937,Nonprofit Organization,Unknown / Non-Applicable,unknown,0,49000,,49000,False
"Principal Scientist, Hematology",$54K-$115K (Glassdoor est.),Health Care Services & Hospitals,Health Care,Rochester,NY,10000+ employees,2014,Hospital,$500 million to $1 billion (USD),principal,5,84500,,84500,False
Data Analyst,$50K-$92K (Glassdoor est.),IT Services,Information Technology,Alexandria,VA,501 to 1000 employees,1989,Company - Private,$100 to $500 million (USD),unknown,0,71000,,71000,False
"Director - Data, Privacy and AI Governance",$67K-$135K (Glassdoor est.),Insurance Carriers,Insurance,Boston,MA,5001 to 10000 employees,1851,Company - Private,$10+ billion (USD),unknown,0,101000,,101000,False
Data Scientist,$82K-$132K (Glassdoor est.),Computer Hardware & Software,Information Technology,Redlands,CA,1001 to 5000 employees,1969,Company - Private,$1 to $2 billion (USD),unknown,0,107000,,107000,False
Data Scientist,$85K-$140K (Glassdoor est.),Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Ipswich,MA,201 to 500 employees,1974,Company - Private,Unknown / Non-Applicable,unknown,0,112500,,112500,False
Staff Machine Learning Engineer,$138K-$224K (Glassdoor est.),Internet,Information Technology,San Francisco,CA,201 to 500 employees,2007,Company - Private,$10 to $25 million (USD),unknown,0,181000,,181000,False
Information Security Data Analyst,$42K-$80K (Glassdoor est.),Computer Hardware & Software,Information Technology,Chicago,IL,10000+ employees,1928,Company - Public,$5 to $10 billion (USD),unknown,0,61000,,61000,False
Lead Data Engineer,$190K-$220K(Employer est.),Internet,Information Technology,Mountain View,CA,51 to 200 employees,2010,Company - Private,$50 to $100 million (USD),lead,4,205000,,205000,False
Scientist Manufacturing - Kentucky BioProcessing,$68K-$139K (Glassdoor est.),Consumer Products Manufacturing,Manufacturing,Owensboro,KY,5001 to 10000 employees,1875,Company - Private,$10+ billion (USD),unknown,0,103500,,103500,False
Data Analytics Project Manager,$34K-$92K (Glassdoor est.),Insurance Carriers,Insurance,Springfield,MA,5001 to 10000 employees,1851,Company - Private,$10+ billion (USD),unknown,0,63000,,63000,False
Consultant - Analytics Consulting,$54K-$71K (Glassdoor est.),IT Services,Information Technology,Hartford,CT,10000+ employees,1981,Company - Public,$10+ billion (USD),unknown,0,62500,,62500,False
Data Engineer,$65K-$124K (Glassdoor est.),Health Care Services & Hospitals,Health Care,Orange,CA,501 to 1000 employees,2013,Company - Private,Unknown / Non-Applicable,unknown,0,94500,,94500,False
Marketing Data Analyst,$35K-$62K (Glassdoor est.),Gambling,"Arts, Entertainment & Recreation",Highland,CA,1001 to 5000 employees,1986,Company - Private,$100 to $500 million (USD),unknown,0,48500,,48500,False
Senior Scientist (Neuroscience),$109K-$200K (Glassdoor est.),Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Marlborough,MA,1001 to 5000 employees,2010,Company - Private,$1 to $2 billion (USD),senior,3,154500,,154500,False
Medical Laboratory Scientist,$18-$25 Per Hour(Glassdoor est.),Health Care Services & Hospitals,Health Care,Burleson,TX,1001 to 5000 employees,1977,Hospital,$50 to $100 million (USD),unknown,0,21500,,21500,False
Machine Learning Engineer - Regulatory,$61K-$113K (Glassdoor est.),Stock Exchanges,Finance,Lenexa,KS,501 to 1000 employees,1973,Company - Public,$500 million to $1 billion (USD),unknown,0,87000,,87000,False
R&D Specialist/ Food Scientist,$39K-$66K (Glassdoor est.),Food & Beverage Manufacturing,Manufacturing,Hoopeston,IL,501 to 1000 employees,-1,Company - Private,$100 to $500 million (USD),unknown,0,52500,,52500,False
Data Engineer,$43K-$86K (Glassdoor est.),Research & Development,Business Services,New York,NY,501 to 1000 employees,2003,Company - Private,Unknown / Non-Applicable,unknown,0,64500,,64500,False
"Scientist, Bacteriology",$74K-$149K (Glassdoor est.),Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Concord,CA,201 to 500 employees,-1,Company - Public,$25 to $50 million (USD),unknown,0,111500,,111500,False
"Associate Director, Platform and DevOps- Data Engineering and Aritifical Intelligence",$113K-$196K (Glassdoor est.),Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Cambridge,MA,10000+ employees,1781,Company - Public,$10+ billion (USD),unknown,0,154500,,154500,False
Senior Research Scientist-Machine Learning,$81K-$167K (Glassdoor est.),Colleges & Universities,Education,Pittsburgh,PA,501 to 1000 employees,1984,College / University,Unknown / Non-Applicable,senior,3,124000,,124000,False
Senior Data Scientist,$97K-$160K (Glassdoor est.),Consulting,Business Services,Chicago,IL,201 to 500 employees,2008,Company - Private,$50 to $100 million (USD),senior,3,128500,,128500,False
Clinical Laboratory Scientist,$24-$39 Per Hour(Glassdoor est.),Health Care Services & Hospitals,Health Care,Vail,CO,501 to 1000 employees,1966,Hospital,$100 to $500 million (USD),unknown,0,31500,,31500,False
Analytics Manager - Data Mart,$42K-$86K (Glassdoor est.),Health Care Services & Hospitals,Health Care,Scotts Valley,CA,501 to 1000 employees,1996,Nonprofit Organization,$500 million to $1 billion (USD),unknown,0,64000,,64000,False
Sr. Data Engineer - Contract-to-Hire (Java),$69K-$127K (Glassdoor est.),Gas Stations,Retail,Knoxville,TN,10000+ employees,1958,Company - Private,$10+ billion (USD),unknown,0,98000,,98000,False
Data Scientist - Algorithms & Inference,$110K-$175K (Glassdoor est.),Enterprise Software & Network Solutions,Information Technology,San Francisco,CA,51 to 200 employees,2010,Company - Private,Unknown / Non-Applicable,unknown,0,142500,,142500,False
Senior Data Scientist - R&D Oncology,$102K-$172K (Glassdoor est.),Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,New York,NY,10000+ employees,1913,Company - Public,$10+ billion (USD),senior,3,137000,,137000,False
Data Engineer,$74K-$124K (Glassdoor est.),Insurance Carriers,Insurance,Denver,CO,501 to 1000 employees,1915,Nonprofit Organization,$500 million to $1 billion (USD),unknown,0,99000,,99000,False
Food Scientist - Developer,$40K-$68K (Glassdoor est.),Food & Beverage Manufacturing,Manufacturing,Milwaukee,WI,501 to 1000 employees,1964,Company - Private,Unknown / Non-Applicable,unknown,0,54000,,54000,False
Senior Data Scientist,$108K-$171K (Glassdoor est.),Computer Hardware & Software,Information Technology,Natick,MA,1001 to 5000 employees,1984,Company - Private,$1 to $2 billion (USD),senior,3,139500,,139500,False
Data Engineer,$76K-$142K (Glassdoor est.),IT Services,Information Technology,Rockville,MD,201 to 500 employees,1999,Company - Private,$25 to $50 million (USD),unknown,0,109000,,109000,False
"Director II, Data Science - GRM Actuarial",$202K-$306K (Glassdoor est.),Insurance Carriers,Insurance,Chicago,IL,10000+ employees,1912,Company - Private,$10+ billion (USD),unknown,0,254000,,254000,False
"Scientist, Molecular/Cellular Biologist",$49K-$97K (Glassdoor est.),Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,South San Francisco,CA,201 to 500 employees,2012,Subsidiary or Business Segment,Unknown / Non-Applicable,unknown,0,73000,,73000,False
Staff Scientist-Downstream Process Development,$49K-$113K (Glassdoor est.),Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Rockville,MD,201 to 500 employees,1961,Company - Private,$25 to $50 million (USD),unknown,0,81000,,81000,False
MED TECH/LAB SCIENTIST- SOUTH COASTAL LAB,$21-$34 Per Hour(Glassdoor est.),Health Care Services & Hospitals,Health Care,Millville,DE,1001 to 5000 employees,1935,Nonprofit Organization,$100 to $500 million (USD),unknown,0,27500,,27500,False
Scientist - Analytical Services,$65K-$134K (Glassdoor est.),Consumer Products Manufacturing,Manufacturing,Winston-Salem,NC,5001 to 10000 employees,1875,Company - Private,$10+ billion (USD),unknown,0,99500,,99500,False
Associate Data Analyst- Graduate Development Program,$32K-$59K (Glassdoor est.),Insurance Carriers,Insurance,Richfield,OH,501 to 1000 employees,1989,Company - Private,$500 million to $1 billion (USD),unknown,0,45500,,45500,False
Sr. Data Engineer,$87K-$158K (Glassdoor est.),Consulting,Business Services,Indianapolis,IN,51 to 200 employees,1996,Company - Private,$25 to $50 million (USD),unknown,0,122500,,122500,False
Senior Insurance Data Scientist,$107K-$173K (Glassdoor est.),Financial Analytics & Research,Finance,Chicago,IL,5001 to 10000 employees,1968,Company - Public,$1 to $2 billion (USD),senior,3,140000,,140000,False
Senior Data Science Systems Engineer,$56K-$99K (Glassdoor est.),Federal Agencies,Government,Hampton,VA,5001 to 10000 employees,1958,Nonprofit Organization,$1 to $2 billion (USD),senior,3,77500,,77500,False
ENVIRONMENTAL ENGINEER/SCIENTIST,Employer Provided Salary:$25-$28 Per Hour,Construction,"Construction, Repair & Maintenance",Cambridge,MA,1 to 50 employees,1976,Company - Private,Unknown / Non-Applicable,unknown,0,26500,,26500,False
Senior Scientist - Regulatory Submissions,$80K-$155K (Glassdoor est.),Consumer Products Manufacturing,Manufacturing,Winston-Salem,NC,5001 to 10000 employees,1875,Company - Private,$10+ billion (USD),senior,3,117500,,117500,False
Scientist - Biomarker and Flow Cytometry,$43K-$98K (Glassdoor est.),Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,San Diego,CA,501 to 1000 employees,2006,Company - Private,$50 to $100 million (USD),unknown,0,70500,,70500,False
Revenue Analytics Manager,$45K-$78K (Glassdoor est.),Computer Hardware & Software,Information Technology,San Francisco,CA,51 to 200 employees,2011,Company - Private,$25 to $50 million (USD),unknown,0,61500,,61500,False
"Associate Scientist, LC/MS Biologics",$44K-$96K (Glassdoor est.),Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Ithaca,NY,1001 to 5000 employees,2015,Company - Private,Unknown / Non-Applicable,unknown,0,70000,,70000,False
Sr. Scientist Method Development,$50K-$110K (Glassdoor est.),Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Marietta,GA,1001 to 5000 employees,2015,Company - Private,Unknown / Non-Applicable,unknown,0,80000,,80000,False
IT - Data Engineer II,$61K-$119K (Glassdoor est.),Insurance Carriers,Insurance,Quincy,MA,1001 to 5000 employees,1988,Company - Private,$100 to $500 million (USD),unknown,0,90000,,90000,False
